seqnames	start	end	gene_id
chr1	74834	78833	502213
chr1	164834	168833	103693496
chr1	239623	243622	308248
chr1	285552	289551	102556157
chr1	453309	457308	102548633
chr1	546579	550578	103690914
chr1	652593	656592	102556098
chr1	772977	776976	678740
chr1	846496	850495	102548076
chr1	1003139	1007138	100910123
chr1	1211973	1215972	679691
chr1	1211973	1215972	308257
chr1	1314585	1318584	120100385
chr1	1399588	1402121	120100384
chr1	1402123	1404656	679825
chr1	1436065	1440064	120098765
chr1	1809689	1812221	120100382
chr1	1812223	1814755	120093164
chr1	1907951	1911950	100913013
chr1	1965942	1969941	120098769
chr1	1982411	1986410	292461
chr1	2047354	2048138	100910848
chr1	2077438	2081437	292462
chr1	2146043	2150042	683983
chr1	2157202	2159805	25604
chr1	2159807	2162410	308265
chr1	2214935	2218934	292464
chr1	2260218	2263786	361448
chr1	2271609	2275608	361449
chr1	2312324	2316323	308266
chr1	2422757	2426756	308267
chr1	2960045	2964044	361450
chr1	3054287	3058286	120100187
chr1	3220195	3224194	120100357
chr1	3283969	3287968	365037
chr1	4089121	4093120	365038
chr1	4274262	4278261	120100355
chr1	4333102	4337101	81022
chr1	4894191	4898190	292477
chr1	4958935	4962934	365042
chr1	5036235	5040234	120100440
chr1	5451171	5455170	24414
chr1	5525609	5528247	498977
chr1	5528249	5530887	308282
chr1	5653339	5657338	308283
chr1	5718941	5722940	120100342
chr1	5725066	5729065	114005
chr1	6003785	6007784	120100424
chr1	6306354	6310353	120100351
chr1	7158452	7162451	25600
chr1	7318165	7322164	292483
chr1	7345075	7348902	120100405
chr1	7348904	7352730	680891
chr1	7475177	7479176	25157
chr1	7562477	7566476	100361672
chr1	7574669	7578668	361452
chr1	7773936	7777935	308291
chr1	7883918	7887917	292485
chr1	7952519	7954573	83519
chr1	7954575	7956630	361453
chr1	8267085	8271084	292486
chr1	8357289	8361288	29721
chr1	8683038	8687037	100912436
chr1	8952124	8956123	308376
chr1	9078636	9082635	292640
chr1	9086139	9090138	681263
chr1	9132889	9136888	25264
chr1	9381523	9385522	120100430
chr1	10375378	10378282	120100212
chr1	10378284	10381188	120100214
chr1	12310160	12314159	114490
chr1	12402859	12406858	308622
chr1	12574428	12578427	308624
chr1	12657470	12661469	685045
chr1	12738056	12742055	292944
chr1	12853450	12857449	103689991
chr1	12871004	12875003	361454
chr1	12954021	12958020	308631
chr1	13065968	13069967	120100161
chr1	13199778	13203777	308632
chr1	13402085	13406084	292947
chr1	13445711	13449710	292948
chr1	13540067	13544066	292949
chr1	13721499	13725498	683206
chr1	14079328	14083327	293012
chr1	14331187	14335186	116465
chr1	14362489	14366488	444986
chr1	14449228	14453227	308716
chr1	14571160	14575159	308717
chr1	14644749	14648748	308718
chr1	14683492	14687491	365057
chr1	14826722	14830721	120100374
chr1	14929829	14933828	293016
chr1	15065296	15069094	120100154
chr1	15069096	15072893	100911069
chr1	15069096	15072893	293017
chr1	15334819	15338818	140929
chr1	15677169	15681168	120100369
chr1	15760462	15764461	308923
chr1	15969600	15973599	498982
chr1	16092526	16094573	293408
chr1	16181940	16185939	685750
chr1	16241528	16245527	120100169
chr1	16662330	16666329	498985
chr1	17670536	17674535	309368
chr1	17758472	17762471	120100129
chr1	18326232	18330231	120100143
chr1	18549940	18553939	293947
chr1	18749659	18753658	120097699
chr1	18988618	18992617	309550
chr1	19105386	19109385	100360791
chr1	19146193	19150192	685940
chr1	19355030	19359029	498987
chr1	19379437	19383436	120100396
chr1	19408169	19412168	498988
chr1	20035713	20039712	309557
chr1	20085373	20089372	361458
chr1	20099249	20103248	100364016
chr1	20473968	20477967	29221
chr1	20535464	20539463	309565
chr1	20561697	20565696	54410
chr1	20696764	20700763	85496
chr1	20803735	20807734	64032
chr1	21159780	21163779	294119
chr1	21224125	21228124	60466
