seqnames	start	end	gene_id
chr1	59235	74833	502213
chr1	78834	121832	502213
chr1	121834	164833	103693496
chr1	168834	204226	103693496
chr1	204228	239622	308248
chr1	243623	264585	308248
chr1	264587	285551	102556157
chr1	289552	315442	102556157
chr1	449722	453308	102548633
chr1	457309	482888	102548633
chr1	529525	546578	103690914
chr1	550579	581047	103690914
chr1	634056	652592	102556098
chr1	656593	661813	102556098
chr1	722008	772976	678740
chr1	776977	811735	678740
chr1	811737	846495	102548076
chr1	850496	926815	102548076
chr1	926817	1003138	100910123
chr1	1007139	1109554	100910123
chr1	1109556	1211972	679691
chr1	1109556	1211972	308257
chr1	1215973	1223041	679691
chr1	1215973	1223041	308257
chr1	1311885	1314584	120100385
chr1	1318585	1326723	120100385
chr1	1393723	1399587	120100384
chr1	1404657	1420359	679825
chr1	1420361	1436064	120098765
chr1	1440065	1513107	120098765
chr1	1752934	1809688	120100382
chr1	1814756	1826889	120093164
chr1	1875489	1907950	100913013
chr1	1911951	1930915	100913013
chr1	1959912	1965941	120098769
chr1	1969942	1976174	120098769
chr1	1976176	1982410	292461
chr1	1986411	2015543	292461
chr1	2075492	2077437	292462
chr1	2081438	2113739	292462
chr1	2113741	2146042	683983
chr1	2150043	2153621	683983
chr1	2153623	2157201	25604
chr1	2162411	2188672	308265
chr1	2188674	2214934	292464
chr1	2218935	2228053	292464
chr1	2250696	2260217	361448
chr1	2269484	2271608	361449
chr1	2275609	2293965	361449
chr1	2293967	2312323	308266
chr1	2316324	2369539	308266
chr1	2369541	2422756	308267
chr1	2426757	2506880	308267
chr1	2775526	2960044	361450
chr1	2964045	2969873	361450
chr1	3016997	3054286	120100187
chr1	3058287	3088100	120100187
chr1	3171055	3220194	120100357
chr1	3224195	3254080	120100357
chr1	3254082	3283968	365037
chr1	3287969	3688543	365037
chr1	3688545	4089120	365038
chr1	4093121	4131879	365038
chr1	4224452	4274261	120100355
chr1	4278262	4305680	120100355
chr1	4305682	4333101	81022
chr1	4337102	4547561	81022
chr1	4828107	4894190	292477
chr1	4898191	4928561	292477
chr1	4928563	4958934	365042
chr1	4962935	4999583	365042
chr1	4999585	5036234	120100440
chr1	5040235	5245701	120100440
chr1	5245703	5451170	24414
chr1	5455171	5490388	24414
chr1	5490390	5525608	498977
chr1	5530888	5592112	308282
chr1	5592114	5653338	308283
chr1	5657339	5688138	308283
chr1	5688140	5718940	120100342
chr1	5722941	5724002	120100342
chr1	5724004	5725065	114005
chr1	5729066	5866424	114005
chr1	5866426	6003784	120100424
chr1	6007785	6157068	120100424
chr1	6157070	6306353	120100351
chr1	6310354	6467066	120100351
chr1	6909896	7158451	25600
chr1	7162452	7174280	25600
chr1	7295252	7318164	292483
chr1	7322165	7333618	292483
chr1	7333620	7345074	120100405
chr1	7352731	7365212	680891
chr1	7439582	7475176	25157
chr1	7479177	7520825	25157
chr1	7520827	7562476	100361672
chr1	7566477	7570571	100361672
chr1	7570573	7574668	361452
chr1	7578669	7676300	361452
chr1	7676302	7773935	308291
chr1	7777936	7830925	308291
chr1	7830927	7883917	292485
chr1	7887918	7920217	292485
chr1	7920219	7952518	83519
chr1	7956631	7988113	361453
chr1	8150040	8267084	292486
chr1	8271085	8314185	292486
chr1	8314187	8357288	29721
chr1	8361289	8522162	29721
chr1	8522164	8683037	100912436
chr1	8687038	8819579	100912436
chr1	8819581	8952123	308376
chr1	8956124	9017378	308376
chr1	9017380	9078635	292640
chr1	9082636	9084385	292640
chr1	9084387	9086138	681263
chr1	9090139	9111512	681263
chr1	9111514	9132888	25264
chr1	9136889	9259205	25264
chr1	9259207	9381522	120100430
chr1	9385523	9880449	120100430
chr1	9880451	10375377	120100212
