seqnames	start	end	gene_id
chr1	59235	74833	502213
chr1	449722	453308	102548633
chr1	474796	482888	102548633
chr1	529525	546578	103690914
chr1	565772	581047	103690914
chr1	634056	650366	102556098
chr1	660729	661813	102556098
chr1	785886	811735	678740
chr1	811737	827024	102548076
chr1	850496	926815	102548076
chr1	926817	961222	100910123
chr1	1074281	1109554	100910123
chr1	1109556	1161831	679691
chr1	1109556	1161831	308257
chr1	1311885	1316384	120100385
chr1	1318585	1326723	120100385
chr1	1393723	1397229	120100384
chr1	1404657	1420359	679825
chr1	1420361	1436064	120098765
chr1	1455537	1513107	120098765
chr1	1911951	1930915	100913013
chr1	1959912	1964034	120098769
chr1	1969942	1976174	120098769
chr1	1976176	1979442	292461
chr1	1986411	2001543	292461
chr1	2108111	2111762	292462
chr1	2193641	2202489	292464
chr1	2269484	2271608	361449
chr1	2305633	2312323	308266
chr1	2348820	2369539	308266
chr1	2369541	2375489	308267
chr1	2426757	2506880	308267
chr1	2964045	2969873	361450
chr1	3016997	3054286	120100187
chr1	3056487	3088100	120100187
chr1	3439871	3677783	365037
chr1	4093121	4131879	365038
chr1	4337102	4547561	81022
chr1	4898191	4928561	292477
chr1	4928563	4945035	365042
chr1	4962935	4999583	365042
chr1	4999585	5036234	120100440
chr1	5038435	5058291	120100440
chr1	5455171	5490388	24414
chr1	5490390	5527047	498977
chr1	5602528	5653338	308283
chr1	5672442	5688138	308283
chr1	5688140	5720740	120100342
chr1	5722941	5724002	120100342
chr1	5724004	5725065	114005
chr1	5920556	6003784	120100424
chr1	6005985	6157068	120100424
chr1	6157070	6306353	120100351
chr1	6308554	6467066	120100351
chr1	7322165	7333618	292483
chr1	7333620	7345074	120100405
chr1	7347275	7348902	120100405
chr1	7357840	7365212	680891
chr1	7439582	7475176	25157
chr1	7517229	7520825	25157
chr1	7520827	7537290	100361672
chr1	7578669	7597926	361452
chr1	7860290	7883917	292485
chr1	7900777	7912505	292485
chr1	7975252	7988113	361453
chr1	8271085	8314185	292486
chr1	8314187	8357288	29721
chr1	8555994	8684188	100912436
chr1	8687038	8812903	100912436
chr1	8956124	9017378	308376
chr1	9017380	9032334	292640
chr1	9082636	9084385	292640
chr1	9084387	9086347	681263
chr1	9090139	9111512	681263
chr1	9111514	9132888	25264
chr1	9145463	9259205	25264
chr1	9259207	9381522	120100430
chr1	9383723	9880449	120100430
chr1	9880451	10375377	120100212
chr1	10377578	10378282	120100212
chr1	10379389	11345673	120100214
chr1	11345675	12310159	114490
chr1	12314898	12354066	114490
chr1	12400417	12402858	308622
chr1	12508857	12525134	308624
chr1	12578428	12617947	308624
chr1	12617949	12654837	685045
chr1	12665208	12697746	685045
chr1	12775562	12778921	292944
chr1	12857450	12857665	103689991
chr1	12920995	12954020	308631
chr1	13187548	13194981	308632
chr1	13203778	13244829	308632
chr1	13406085	13425896	292947
chr1	13425898	13442864	292948
chr1	13449711	13494887	292948
chr1	13494889	13540066	292949
chr1	13554512	13632781	292949
chr1	13632783	13709205	683206
chr1	13725499	13902412	683206
chr1	13902414	14079327	293012
chr1	14082150	14109409	293012
chr1	14235340	14331186	116465
