seqnames	start	end	gene_id
chr1	74834	77033	502213
chr1	166634	168833	103693496
chr1	241423	243622	308248
chr1	287352	289551	102556157
chr1	453309	455508	102548633
chr1	546579	548778	103690914
chr1	654393	656592	102556098
chr1	772977	775176	678740
chr1	848296	850495	102548076
chr1	1004939	1007138	100910123
chr1	1211973	1214172	679691
chr1	1211973	1214172	308257
chr1	1316385	1318584	120100385
chr1	1399588	1401787	120100384
chr1	1402457	1404656	679825
chr1	1436065	1438264	120098765
chr1	1809689	1811888	120100382
chr1	1812556	1814755	120093164
chr1	1909751	1911950	100913013
chr1	1967742	1969941	120098769
chr1	1984211	1986410	292461
chr1	2047830	2048138	100910848
chr1	2077438	2079637	292462
chr1	2146043	2148242	683983
chr1	2159002	2159805	25604
chr1	2159807	2160610	308265
chr1	2214935	2217134	292464
chr1	2262018	2263786	361448
chr1	2271609	2273808	361449
chr1	2312324	2314523	308266
chr1	2424557	2426756	308267
chr1	2961845	2964044	361450
chr1	3054287	3056486	120100187
chr1	3221995	3224194	120100357
chr1	3285769	3287968	365037
chr1	4090921	4093120	365038
chr1	4276062	4278261	120100355
chr1	4334902	4337101	81022
chr1	4895991	4898190	292477
chr1	4960735	4962934	365042
chr1	5036235	5038434	120100440
chr1	5452971	5455170	24414
chr1	5527409	5528247	498977
chr1	5528249	5529087	308282
chr1	5653339	5655538	308283
chr1	5720741	5722940	120100342
chr1	5725066	5727265	114005
chr1	6003785	6005984	120100424
chr1	6306354	6308553	120100351
chr1	7160252	7162451	25600
chr1	7319965	7322164	292483
chr1	7345075	7347274	120100405
chr1	7348904	7350930	680891
chr1	7475177	7477376	25157
chr1	7564277	7566476	100361672
chr1	7576469	7578668	361452
chr1	7775736	7777935	308291
chr1	7883918	7886117	292485
chr1	7954319	7954573	83519
chr1	7954575	7954830	361453
chr1	8268885	8271084	292486
chr1	8357289	8359488	29721
chr1	8684838	8687037	100912436
chr1	8953924	8956123	308376
chr1	9080436	9082635	292640
chr1	9087939	9090138	681263
chr1	9132889	9135088	25264
chr1	9381523	9383722	120100430
chr1	10375378	10377577	120100212
chr1	10378284	10379388	120100214
chr1	12310160	12312359	114490
chr1	12402859	12405058	308622
chr1	12576228	12578427	308624
chr1	12659270	12661469	685045
chr1	12738056	12740255	292944
chr1	12855250	12857449	103689991
chr1	12872804	12875003	361454
chr1	12954021	12956220	308631
chr1	13067768	13069967	120100161
chr1	13201578	13203777	308632
chr1	13403885	13406084	292947
chr1	13447511	13449710	292948
chr1	13540067	13542266	292949
chr1	13723299	13725498	683206
chr1	14079328	14081527	293012
chr1	14331187	14333386	116465
chr1	14362489	14364688	444986
chr1	14449228	14451427	308716
chr1	14572960	14575159	308717
chr1	14646549	14648748	308718
chr1	14683492	14685691	365057
chr1	14828522	14830721	120100374
chr1	14929829	14932028	293016
chr1	15065296	15067495	120100154
chr1	15069096	15071093	100911069
chr1	15069096	15071093	293017
chr1	15336619	15338818	140929
chr1	15677169	15679368	120100369
chr1	15760462	15762661	308923
chr1	15971400	15973599	498982
chr1	16092526	16092773	293408
chr1	16181940	16184139	685750
chr1	16241528	16243727	120100169
chr1	16664130	16666329	498985
chr1	17670536	17672735	309368
chr1	17758472	17760671	120100129
chr1	18328032	18330231	120100143
chr1	18551740	18553939	293947
chr1	18749659	18751858	120097699
chr1	18988618	18990817	309550
chr1	19105386	19107585	100360791
chr1	19147993	19150192	685940
chr1	19355030	19357229	498987
chr1	19379437	19381636	120100396
chr1	19409969	19412168	498988
chr1	20037513	20039712	309557
chr1	20085373	20087572	361458
chr1	20101049	20103248	100364016
chr1	20473968	20476167	29221
chr1	20537264	20539463	309565
chr1	20561697	20563896	54410
chr1	20696764	20698963	85496
chr1	20805535	20807734	64032
chr1	21161580	21163779	294119
chr1	21225925	21228124	60466
chr1	21261867	21264066	108349831
chr1	21272942	21275141	319107
chr1	21287843	21290042	319106
chr1	21287843	21290042	319105
chr1	21333688	21335887	319104
chr1	21388237	21390436	294131
chr1	21388237	21390436	294130
chr1	21402593	21404792	294133
chr1	21410202	21412401	294134
chr1	21430241	21432440	494535
chr1	21441709	21443908	294126
chr1	21448595	21450794	294125
chr1	21456111	21458310	294124
chr1	21470737	21472936	294123
chr1	21481894	21484093	294122
chr1	21492465	21494566	494319
chr1	21504100	21506299	294121
chr1	21531885	21534084	113914
chr1	21547196	21549395	29142
chr1	21583427	21585626	498992
chr1	21670485	21672684	309570
chr1	21679980	21681090	65139
chr1	21681225	21681756	120100344
chr1	21681914	21682435	120100476
chr1	21682437	21682802	120100393
chr1	22170275	22172474	292172
chr1	22699353	22701552	252856
chr1	22778501	22778707	689030
chr1	22857876	22860075	308028
chr1	23098084	23098409	29517
chr1	23131257	23132109	120100131
chr1	23131257	23132109	120100130
chr1	23395101	23397300	108349468
chr1	23400246	23402445	120100484
chr1	23733272	23735471	361459
chr1	24410396	24412595	59299
chr1	24669157	24669661	102551716
