seqnames	start	end	gene_id
chr1	76834	358271	502213
chr1	165944	184236	103693496
chr1	226341	272253	308248
chr1	284652	287551	102556157
chr1	455309	474795	102548633
chr1	548579	565771	103690914
chr1	650367	660728	102556098
chr1	689460	785885	678740
chr1	827025	848495	102548076
chr1	961223	1074280	100910123
chr1	1161832	1224262	679691
chr1	1161832	1224262	308257
chr1	1316463	1316584	120100385
chr1	1397230	1402656	679825
chr1	1401588	1401709	120100384
chr1	1438065	1455536	120098765
chr1	1749136	1909950	100913013
chr1	1807644	1812755	120093164
chr1	1811689	1811810	120100382
chr1	1964035	1967941	120098769
chr1	1979443	1984410	292461
chr1	2032244	2048029	100910848
chr1	2079438	2108110	292462
chr1	2111763	2159201	25604
chr1	2148043	2158186	683983
chr1	2160411	2193640	308265
chr1	2202490	2244131	292464
chr1	2246394	2262217	361448
chr1	2273609	2305632	361449
chr1	2314324	2348819	308266
chr1	2375490	2424756	308267
chr1	2669592	2962044	361450
chr1	3056287	3056391	120100187
chr1	3121332	3439870	365037
chr1	3222063	3222194	120100357
chr1	3677784	4091120	365038
chr1	4185529	4335101	81022
chr1	4276131	4276261	120100355
chr1	4753621	4896190	292477
chr1	4945036	4960934	365042
chr1	5038235	5038365	120100440
chr1	5058292	5453170	24414
chr1	5527048	5527608	498977
chr1	5528888	5602527	308282
chr1	5655339	5672441	308283
chr1	5720803	5720940	120100342
chr1	5727066	5920555	114005
chr1	6005785	6005914	120100424
chr1	6308354	6308480	120100351
chr1	6722594	7224313	25600
chr1	7289976	7320164	292483
chr1	7347075	7347218	120100405
chr1	7350731	7357839	680891
chr1	7477177	7517228	25157
chr1	7537291	7565054	100361672
chr1	7565669	7578563	361452
chr1	7597927	7860289	308291
chr1	7885918	7900776	292485
chr1	7912506	7954518	83519
chr1	7954631	7975251	361453
chr1	8046430	8269084	292486
chr1	8359289	8555993	29721
chr1	8684189	8685037	100912436
chr1	8812904	8954123	308376
chr1	9032335	9080635	292640
chr1	9086348	9088138	681263
chr1	9134889	9145462	25264
chr1	9383523	9383653	120100430
chr1	10377378	10377442	120100212
chr1	10379189	10379250	120100214
chr1	12312160	12314897	114490
chr1	12404859	12449975	308622
chr1	12525135	12576427	308624
chr1	12654838	12665207	685045
chr1	12697747	12775561	292944
chr1	12778922	12855449	103689991
chr1	12857666	12873003	361454
chr1	12956021	13187547	308631
chr1	13067861	13067967	120100161
chr1	13194982	13201777	308632
chr1	13244830	13404084	292947
chr1	13442865	13448675	292948
chr1	13542067	13554511	292949
chr1	13709206	13725282	683206
chr1	14081328	14082149	293012
chr1	14333187	14351785	116465
chr1	14364489	14377844	444986
chr1	14451228	14493602	308716
chr1	14569687	14573159	308717
chr1	14582699	14646748	308718
chr1	14685492	14904800	365057
chr1	14828587	14828721	120100374
chr1	14910551	15037574	293016
chr1	15067296	15067402	120100154
chr1	15070894	15148832	100911069
chr1	15070894	15148832	293017
chr1	15182704	15492900	140929
chr1	15679169	15679309	120100369
chr1	15762462	15891041	308923
chr1	15939761	15973057	498982
chr1	16092547	16170074	293408
chr1	16183940	16203385	685750
chr1	16243528	16243631	120100169
chr1	16432631	16664329	498985
chr1	17672536	18320530	309368
chr1	17760472	17760578	120100129
chr1	18328125	18328231	120100143
chr1	18403537	18637256	293947
chr1	18751659	18751829	120097699
chr1	18990618	19089263	309550
chr1	19103036	19148192	685940
chr1	19107386	19108232	100360791
chr1	19323829	19406453	498987
chr1	19381437	19381570	120100396
chr1	19409539	19410168	498988
chr1	19863009	20037721	309557
chr1	20087373	20217797	361458
chr1	20099733	20101248	100364016
chr1	20475968	20488422	29221
chr1	20490315	20537463	309565
chr1	20563697	20635041	54410
chr1	20698764	20763715	85496
chr1	20802199	20805734	64032
chr1	21075122	21161779	294119
chr1	21197075	21237279	60466
chr1	21261896	21262066	108349831
chr1	21274942	21275988	319107
chr1	21289843	21290877	319106
chr1	21289843	21290877	319105
chr1	21332763	21333887	319104
chr1	21387360	21388436	294131
chr1	21387360	21388436	294130
chr1	21401716	21402792	294133
chr1	21409325	21410401	294134
chr1	21429364	21430440	494535
chr1	21440832	21441908	294126
chr1	21450595	21453692	294125
chr1	21458111	21460652	294124
chr1	21469923	21470936	294123
chr1	21481050	21482093	294122
chr1	21491538	21492566	494319
chr1	21500067	21504299	294121
chr1	21517258	21532084	113914
chr1	21537094	21547395	29142
chr1	21571364	21583626	498992
chr1	21628237	21670684	309570
chr1	21680852	21683014	65139
chr1	21681557	21681630	120100344
chr1	21682269	21682343	120100476
chr1	21682603	21682729	120100393
chr1	22172275	22415976	292172
chr1	22701353	22704202	252856
chr1	22778459	22803122	689030
chr1	22804418	22860971	308028
chr1	22980261	23098283	29517
chr1	23131350	23131456	120100131
chr1	23131350	23131456	120100130
